epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5818.04,0.72543,0.4441,1.03375,0.95974,0.93446,0.96593,0.78253,0.73948,0.39817,1.1433,0.000803876,0.000803876,0.000803876
43,6012.93,0.72944,0.45056,1.04189,0.96089,0.94304,0.9684,0.79094,0.73678,0.37986,1.13337,0.000785127,0.000785127,0.000785127
44,6196.83,0.72437,0.44096,1.03399,0.95111,0.94686,0.96533,0.79059,0.74709,0.38913,1.12307,0.000766226,0.000766226,0.000766226
45,6381.07,0.72868,0.43942,1.03418,0.95007,0.93731,0.96439,0.78912,0.74719,0.4008,1.13459,0.000747192,0.000747192,0.000747192
46,6565.89,0.71655,0.43301,1.03225,0.96008,0.91795,0.96534,0.78264,0.74785,0.4024,1.12556,0.000728044,0.000728044,0.000728044
47,6749.23,0.71621,0.43403,1.02889,0.94936,0.93859,0.96569,0.79445,0.73853,0.38359,1.10971,0.0007088,0.0007088,0.0007088
48,6952.01,0.71347,0.44051,1.03323,0.95835,0.9332,0.96957,0.8004,0.73604,0.38681,1.11532,0.00068948,0.00068948,0.00068948
49,7139.95,0.70753,0.43213,1.03214,0.953,0.95137,0.96807,0.79662,0.74495,0.38063,1.12844,0.000670102,0.000670102,0.000670102
50,7319.69,0.69986,0.42205,1.02396,0.94583,0.94961,0.96656,0.79522,0.75477,0.38933,1.12042,0.000650685,0.000650685,0.000650685
51,7496.33,0.72633,0.42546,1.02961,0.95708,0.93731,0.96462,0.79137,0.74428,0.37494,1.12233,0.00063125,0.00063125,0.00063125
52,7674.13,0.70908,0.41677,1.02519,0.96113,0.92351,0.96201,0.7954,0.74224,0.38762,1.11966,0.000611815,0.000611815,0.000611815
53,7862.01,0.68677,0.41047,1.01478,0.953,0.93773,0.96283,0.78691,0.75079,0.38685,1.12571,0.000592398,0.000592398,0.000592398
54,8044.06,0.69475,0.39892,1.01321,0.9677,0.9385,0.96728,0.78932,0.7416,0.38381,1.12227,0.00057302,0.00057302,0.00057302
55,8141.31,0.69056,0.4061,1.02208,0.96815,0.93522,0.96708,0.79686,0.74728,0.38343,1.12607,0.0005537,0.0005537,0.0005537
56,8239.26,0.68667,0.40054,1.01641,0.96225,0.9368,0.96813,0.79927,0.74568,0.37712,1.12815,0.000534456,0.000534456,0.000534456
57,8379.79,0.68036,0.3986,1.01486,0.9724,0.92185,0.96865,0.79824,0.7341,0.37006,1.12427,0.000515308,0.000515308,0.000515308
58,8558.85,0.66612,0.38397,1.00812,0.9688,0.93169,0.96634,0.80598,0.72645,0.37472,1.11494,0.000496274,0.000496274,0.000496274
59,8737.61,0.67432,0.38833,1.00646,0.94904,0.95318,0.96426,0.80531,0.72529,0.36436,1.10771,0.000477373,0.000477373,0.000477373
60,8911.18,0.67626,0.38543,1.01191,0.96892,0.93133,0.96766,0.8029,0.72885,0.35056,1.11632,0.000458624,0.000458624,0.000458624
61,9091.46,0.6754,0.38261,1.00584,0.94638,0.94528,0.96694,0.79596,0.73992,0.36003,1.13685,0.000440046,0.000440046,0.000440046
62,9274.34,0.655,0.37504,1.00333,0.96112,0.93966,0.96453,0.80462,0.7303,0.36197,1.1205,0.000421656,0.000421656,0.000421656
63,9375.78,0.65756,0.37235,1.00061,0.94841,0.94981,0.9637,0.80251,0.72557,0.3592,1.11303,0.000403473,0.000403473,0.000403473
64,9478.2,0.66092,0.37714,1.00571,0.95582,0.94114,0.967,0.80156,0.73318,0.3702,1.12557,0.000385515,0.000385515,0.000385515
65,9581.44,0.65472,0.37339,1.00303,0.97433,0.9222,0.96785,0.80285,0.72983,0.35948,1.11419,0.000367799,0.000367799,0.000367799
66,9686.17,0.65434,0.37009,0.99813,0.9673,0.93003,0.96845,0.80404,0.72922,0.37239,1.11795,0.000350343,0.000350343,0.000350343
67,9789.08,0.64963,0.37137,0.99745,0.97556,0.93348,0.96757,0.79675,0.74201,0.37273,1.13406,0.000333165,0.000333165,0.000333165
68,9890.29,0.64568,0.36697,0.99762,0.96661,0.93369,0.96826,0.80242,0.74221,0.35789,1.1269,0.000316281,0.000316281,0.000316281
